starting time minimum (h),starting time length (h),starting time probability,duration minimum (h),duration length (h),duration probability,consumption rate minimum (kW),consumption rate length (kW),consumption rate probability
0,24,0.031,0,7.75,0.014,0,30.617,0.028
,,0.016,,,0.074,,,0.052
,,0.039,,,0.096,,,0.067
,,0.002,,,0.104,,,0.067
,,0.002,,,0.098,,,0.073
,,0.003,,,0.089,,,0.071
,,0.006,,,0.08,,,0.07
,,0.021,,,0.056,,,0.068
,,0.04,,,0.069,,,0.062
,,0.036,,,0.059,,,0.057
,,0.039,,,0.049,,,0.049
,,0.037,,,0.036,,,0.044
,,0.04,,,0.027,,,0.044
,,0.041,,,0.025,,,0.041
,,0.046,,,0.022,,,0.037
,,0.04,,,0.001,,,0.033
,,0.056,,,0.018,,,0.03
,,0.068,,,0.016,,,0.025
,,0.097,,,0.015,,,0.022
,,0.102,,,0.013,,,0.019
,,0.091,,,0.011,,,0.013
,,0.056,,,0.01,,,0.009
,,0.049,,,0.007,,,0.006
,,0.04,,,0.005,,,0.003
,,,,,0.003,,,0.003
,,,,,0.002,,,0.002
,,,,,0.002,,,0.002
,,,,,0.001,,,0.002
,,,,,0.001,,,0.002
,,,,,0.001,,,0
,,,,,0.001,,,0
