starting time minimum (h),starting time length (h),starting time probability,duration minimum (h),duration length (h),duration probability,consumption rate minimum (kW),consumption rate length (kW),consumption rate probability
0,24,0.001,0,7.75,0.154,0,30.617,0.039
,,0.001,,,0.194,,,0.103
,,0,,,0.17,,,0.079
,,0,,,0.189,,,0.053
,,0,,,0.111,,,0.053
,,0.007,,,0.095,,,0.059
,,0.018,,,0.048,,,0.056
,,0.073,,,0.017,,,0.053
,,0.144,,,0.006,,,0.067
,,0.081,,,0.002,,,0.07
,,0.056,,,0.002,,,0.067
,,0.058,,,0.002,,,0.052
,,0.07,,,0.002,,,0.07
,,0.068,,,0.002,,,0.041
,,0.109,,,0.001,,,0.034
,,0.085,,,0,,,0.03
,,0.069,,,0.001,,,0.023
,,0.031,,,0.001,,,0.017
,,0.02,,,0.001,,,0.012
,,0.013,,,0.001,,,0.008
,,0.007,,,0,,,0.006
,,0.083,,,0,,,0.003
,,0.002,,,0,,,0.002
,,0.002,,,0,,,0.001
,,,,,0,,,0.002
,,,,,0,,,0
,,,,,0,,,0
,,,,,0,,,0
,,,,,0,,,0
,,,,,0,,,0
,,,,,0,,,0
